"userid","movieid","value","create_at"
"7413","10309","75","18/12/2009 11:34:13"
"7413","10447","50","17/12/2009 23:17:51"
"7413","10826","65","19/12/2009 00:28:12"
"7413","11023","70","19/12/2009 00:36:08"
"7413","11265","45","19/12/2009 00:48:49"
"7413","11592","75","19/12/2009 00:44:24"
"7413","11742","80","19/12/2009 00:46:47"
"7413","11760","90","19/12/2009 00:56:38"
"7413","11844","35","17/12/2009 23:18:25"
"7413","11849","65","18/12/2009 12:07:25"
"7413","12127","65","18/12/2009 11:27:59"
"7413","12341","70","18/12/2009 11:30:26"
"7413","12374","80","19/12/2009 00:27:06"
"7413","12401","90","18/12/2009 12:06:56"
"7413","12423","50","18/12/2009 12:05:35"
"7413","12429","55","19/12/2009 00:26:46"
"7413","12448","80","5/1/2010 17:25:32"
"7413","12565","60","18/12/2009 12:08:13"
"7413","12569","75","18/12/2009 11:30:36"
"7413","12689","95","18/12/2009 12:05:13"
"7413","12703","75","17/12/2009 23:12:37"
"7413","13469","80","17/12/2009 23:12:48"
"7413","13592","75","18/12/2009 11:25:56"
"7413","14059","70","18/12/2009 12:04:59"
"7413","14148","75","5/1/2010 17:35:18"
"7413","14229","55","18/12/2009 11:27:45"
"7413","14429","70","17/12/2009 23:17:16"
"7413","14469","65","5/1/2010 17:27:09"
"7413","14692","70","19/12/2009 00:28:43"
"7413","14841","80","19/12/2009 00:44:10"
"7413","14847","90","17/12/2009 23:18:12"
"7413","14959","80","18/12/2009 11:25:27"
"7413","14993","65","19/12/2009 00:38:47"
"7413","15254","85","19/12/2009 00:29:13"
"7413","15841","75","19/12/2009 00:47:35"
"7413","15936","60","19/12/2009 00:48:58"
"7413","17166","65","18/12/2009 11:29:03"
"7413","17532","70","5/1/2010 17:36:26"
"7413","17683","50","18/12/2009 11:31:25"
"7413","17790","60","19/12/2009 00:42:14"
"7413","18206","70","18/12/2009 12:08:26"
"7413","18267","90","17/12/2009 23:14:19"
"7413","18454","80","18/12/2009 11:26:24"
"7413","18573","80","17/12/2009 23:14:42"
"7413","18622","55","18/12/2009 11:27:24"
"7413","18678","80","19/12/2009 00:42:45"
"7413","18684","60","18/12/2009 11:31:27"
"7413","18693","65","19/12/2009 00:43:23"
"7413","18801","80","19/12/2009 00:38:38"
"7413","18830","65","17/12/2009 23:19:11"
"7413","19120","75","19/12/2009 00:59:21"
"7413","19266","80","19/12/2009 00:43:06"
"7413","19364","70","19/12/2009 00:39:34"
"7413","19922","75","19/12/2009 00:58:59"
"7413","20175","90","18/12/2009 11:27:42"
"7413","20182","75","18/12/2009 11:30:08"
"7413","20453","85","19/12/2009 00:34:21"
"7413","20886","55","19/12/2009 00:30:09"
"7413","21191","70","19/12/2009 00:58:42"
"7413","21256","70","19/12/2009 00:43:41"
"7413","21352","50","18/12/2009 12:06:17"
"7413","21615","90","19/12/2009 00:34:48"
"7413","21651","70","17/12/2009 23:18:34"
"7413","21681","90","19/12/2009 00:57:45"
"7413","21710","60","18/12/2009 12:08:37"
"7413","21751","75","18/12/2009 11:27:35"
"7413","21765","85","18/12/2009 12:07:08"
"7413","22179","100","18/12/2009 12:06:52"
"7413","22180","70","18/12/2009 11:28:06"
"7413","22437","60","19/12/2009 00:50:39"
"7413","22467","90","19/12/2009 00:29:09"
"7413","22471","90","18/12/2009 12:10:31"
"7413","22579","25","17/12/2009 23:13:12"
"7413","23069","65","18/12/2009 12:09:25"
"7413","23071","75","19/12/2009 00:50:59"
"7413","23386","80","18/12/2009 11:26:29"
"7413","23515","65","19/12/2009 00:26:02"
"7413","23598","60","17/12/2009 23:18:50"
"7413","23639","60","17/12/2009 23:18:08"
"7413","23687","60","19/12/2009 00:35:40"
"7413","23785","60","5/1/2010 17:25:51"
"7413","23842","60","18/12/2009 12:07:16"
"7413","23873","50","5/1/2010 17:34:39"
"7413","23931","55","5/1/2010 17:25:45"
"7413","24106","65","19/12/2009 00:31:18"
"7413","24150","65","19/12/2009 00:37:05"
"7413","24153","80","5/1/2010 17:37:08"
"7413","24322","70","17/12/2009 23:14:16"
"7413","24442","80","18/12/2009 12:08:21"
"7413","24592","60","19/12/2009 00:25:29"
"7413","24965","85","18/12/2009 12:06:08"
"7413","25040","80","18/12/2009 11:30:04"
"7413","25192","75","18/12/2009 12:09:06"
"7413","25209","65","18/12/2009 12:08:45"
"7413","25801","65","18/12/2009 12:08:55"
"7413","26042","40","17/12/2009 23:19:19"
"7413","26364","65","19/12/2009 00:38:19"
"7413","26538","70","19/12/2009 00:46:31"
"7413","26641","90","19/12/2009 00:57:31"
"7413","26914","60","18/12/2009 12:11:14"
"7413","29070","60","19/12/2009 00:27:42"
"7413","30403","60","19/12/2009 00:52:45"
"7413","30428","20","17/12/2009 23:13:36"
"7550","15","70","31/7/2009 15:42:07"
"7550","40","75","31/7/2009 15:49:01"
"7550","1004","75","31/7/2009 15:51:19"
"7550","1054","75","3/6/2010 19:15:22"
"7550","1275","85","3/6/2010 19:15:33"
"7550","1562","70","31/7/2009 15:53:17"
"7550","1563","60","3/6/2010 19:16:30"
"7550","1573","95","31/7/2009 15:47:15"
"7550","1660","70","3/6/2010 19:08:43"
"7550","1756","75","31/7/2009 15:49:51"
"7550","1841","55","19/5/2010 22:00:10"
"7550","1852","80","19/4/2010 22:58:13"
"7550","1973","90","3/6/2010 19:16:44"
"7550","2068","65","31/7/2009 15:51:15"
"7550","2373","80","31/7/2009 15:54:32"
"7550","2446","55","31/7/2009 15:41:31"
"7550","2472","70","31/7/2009 15:39:10"
"7550","2934","90","3/6/2010 19:09:39"
"7550","3089","70","31/7/2009 15:55:31"
"7550","3313","75","22/6/2010 20:03:08"
"7550","3715","70","31/7/2009 15:55:03"
"7550","3817","80","31/7/2009 15:56:01"
"7550","3918","85","31/7/2009 15:50:52"
"7550","4267","15","31/7/2009 15:40:52"
"7550","4614","80","31/7/2009 15:47:22"
"7550","4759","65","31/7/2009 15:48:37"
"7550","4829","65","31/7/2009 15:49:40"
"7550","4851","80","31/7/2009 15:38:29"
"7550","4854","70","31/7/2009 15:54:30"
"7550","4874","65","31/7/2009 15:48:32"
"7550","4936","75","31/7/2009 15:54:59"
"7550","5076","70","31/7/2009 15:46:43"
"7550","5248","70","3/6/2010 19:15:59"
"7550","5405","60","3/6/2010 19:16:24"
"7550","6111","70","31/7/2009 15:43:08"
"7550","6123","80","3/6/2010 19:16:49"
"7550","6433","85","3/6/2010 19:16:22"
"7550","6525","65","3/6/2010 19:14:13"
"7550","6736","45","31/7/2009 15:38:37"
"7550","6758","60","31/7/2009 15:50:31"
"7550","7141","80","31/7/2009 15:39:01"
"7550","7419","80","3/6/2010 19:16:07"
"7550","7682","70","19/5/2010 22:00:09"
"7550","7740","70","30/6/2010 14:22:36"
"7550","7812","65","3/6/2010 19:14:31"
"7550","8435","90","31/7/2009 15:45:31"
"7550","8462","65","31/7/2009 15:55:36"
"7550","8609","70","31/7/2009 15:51:00"
"7550","8704","85","31/7/2009 15:43:16"
"7550","8742","75","31/7/2009 15:46:34"
"7550","8800","85","31/7/2009 15:51:25"
"7550","8909","85","3/6/2010 19:14:51"
"7550","8949","70","31/7/2009 15:42:00"
"7550","9032","80","31/7/2009 15:49:55"
"7550","9066","80","31/7/2009 15:50:13"
"7550","9353","100","3/6/2010 19:16:13"
"7550","9611","80","31/7/2009 15:53:51"
"7550","9711","40","31/7/2009 15:49:18"
"7550","9770","60","16/4/2010 20:12:39"
"7550","10411","65","31/7/2009 15:55:06"
"7550","10447","80","31/7/2009 15:39:22"
"7550","10921","70","31/7/2009 15:54:07"
"7550","11592","40","31/7/2009 15:48:07"
"7550","11777","70","3/6/2010 19:15:10"
"7550","12127","75","31/7/2009 15:45:50"
"7550","12341","45","31/7/2009 15:54:16"
"7550","12423","80","3/6/2010 19:15:30"
"7550","12448","25","31/7/2009 15:49:15"
"7550","12512","65","31/7/2009 15:47:53"
"7550","12600","75","31/7/2009 15:54:53"
"7550","12689","100","31/7/2009 15:55:53"
"7550","12703","65","31/7/2009 15:48:01"
"7550","12734","50","31/7/2009 15:40:59"
"7550","13006","70","31/7/2009 15:40:40"
"7550","13131","70","31/7/2009 15:43:29"
"7550","13699","70","31/7/2009 15:41:26"
"7550","13798","80","3/6/2010 19:14:54"
"7550","13955","80","31/7/2009 15:49:44"
"7550","14059","80","3/6/2010 19:16:27"
"7550","14181","20","19/4/2010 22:58:26"
"7550","14229","70","31/7/2009 15:46:49"
"7550","14429","85","31/7/2009 15:48:51"
"7550","14469","60","31/7/2009 15:42:03"
"7550","14781","70","19/4/2010 20:33:18"
"7550","14816","70","31/7/2009 15:55:49"
"7550","14847","85","31/7/2009 15:40:15"
"7550","14959","75","31/7/2009 15:43:20"
"7550","15138","80","31/7/2009 15:45:40"
"7550","15348","80","31/7/2009 15:52:12"
"7550","15361","80","31/7/2009 15:41:13"
"7550","15897","90","31/7/2009 15:45:34"
"7550","15974","95","3/9/2009 16:09:00"
"7550","15999","70","31/7/2009 15:50:47"
"7550","16622","75","3/6/2010 19:14:25"
"7550","16719","85","31/7/2009 15:55:44"
"7550","16802","80","3/6/2010 19:17:48"
"7550","16872","65","3/6/2010 19:16:59"
"7550","17019","85","31/7/2009 15:47:20"
"7550","17127","75","31/7/2009 15:50:26"
"7550","17202","65","3/6/2010 19:14:18"
"7550","17251","85","3/6/2010 19:15:38"
"7550","17311","70","31/7/2009 15:53:19"
"7550","17371","80","31/7/2009 15:38:23"
"7550","17657","65","31/7/2009 15:40:27"
"7550","17943","100","3/6/2010 19:16:38"
"7550","18118","70","3/6/2010 19:14:45"
"7550","18141","75","31/7/2009 15:47:11"
"7550","18267","90","31/7/2009 15:42:21"
"7550","18375","80","31/7/2009 15:43:33"
"7550","18454","75","31/7/2009 15:51:10"
"7550","18556","80","8/7/2010 19:09:27"
"7550","18622","75","31/7/2009 15:51:23"
"7550","18684","80","31/7/2009 15:55:12"
"7550","18705","80","31/7/2009 15:51:32"
"7550","18830","70","31/7/2009 15:41:16"
"7550","19152","65","3/6/2010 19:16:32"
"7550","19273","75","17/4/2010 04:01:39"
"7550","19418","85","31/7/2009 15:44:48"
"7550","19491","70","3/6/2010 19:15:40"
"7550","19622","50","30/6/2010 14:17:53"
"7550","19713","80","31/7/2009 15:54:37"
"7550","19771","65","31/7/2009 15:43:26"
"7550","19922","80","31/7/2009 15:42:11"
"7550","20058","50","31/7/2009 15:42:48"
"7550","20091","70","31/7/2009 15:44:44"
"7550","20175","85","31/7/2009 15:52:10"
"7550","20182","60","31/7/2009 15:53:44"
"7550","20485","60","3/6/2010 19:17:39"
"7550","20655","70","31/7/2009 15:52:26"
"7550","20756","70","3/6/2010 19:15:58"
"7550","20813","70","31/7/2009 15:47:33"
"7550","21178","60","31/7/2009 15:45:13"
"7550","21191","70","31/7/2009 15:55:15"
"7550","21341","90","3/6/2010 19:17:17"
"7550","21448","60","3/6/2010 19:17:35"
"7550","21590","70","31/7/2009 15:50:57"
"7550","21894","75","31/7/2009 15:41:23"
"7550","21991","50","24/6/2010 03:47:33"
"7550","22021","55","3/6/2010 19:18:16"
"7550","22179","100","3/6/2010 19:14:07"
"7550","22183","80","3/6/2010 19:17:50"
"7550","22570","70","31/7/2009 15:46:24"
"7550","23285","80","31/7/2009 15:56:09"
"7550","23373","85","31/7/2009 15:42:37"
"7550","23386","90","31/7/2009 15:45:04"
"7550","23598","60","31/7/2009 15:42:14"
"7550","23639","50","31/7/2009 15:49:21"
"7550","23718","75","31/7/2009 15:52:21"
"7550","23785","50","31/7/2009 15:49:19"
"7550","23866","85","31/7/2009 15:47:28"
"7550","23873","70","31/7/2009 15:54:12"
"7550","23882","65","31/7/2009 15:50:34"
"7550","23931","35","31/7/2009 15:40:08"
"7550","24284","75","31/7/2009 15:51:12"
"7550","24307","80","31/7/2009 15:50:39"
"7550","24322","85","31/7/2009 15:49:53"
"7550","24485","65","5/5/2010 19:32:12"
"7550","24724","70","31/7/2009 15:51:44"
"7550","24861","80","31/7/2009 15:55:28"
"7550","24864","65","31/7/2009 15:45:08"
"7550","25040","70","31/7/2009 15:53:41"
"7550","25312","70","31/7/2009 15:40:42"
"7550","25627","80","3/6/2010 19:09:12"
"7550","25693","75","31/7/2009 15:56:10"
"7550","26032","40","31/7/2009 15:45:55"
"7550","26042","90","31/7/2009 15:41:27"
"7550","26055","70","31/7/2009 15:52:03"
"7550","26105","95","31/7/2009 15:54:40"
"7550","26598","75","31/7/2009 15:53:10"
"7550","26746","70","31/7/2009 15:49:41"
"7550","26900","60","31/7/2009 15:41:57"
"7550","26920","80","3/6/2010 19:15:49"
"7550","30428","50","31/7/2009 15:39:06"
"7550","30518","45","20/4/2010 14:28:05"
"7550","31840","30","30/6/2010 14:20:19"
"36144","15","85","17/6/2010 15:47:14"
"36144","40","70","24/6/2010 18:27:49"
"36144","282","85","23/6/2010 00:27:34"
"36144","392","55","17/6/2010 16:02:34"
"36144","564","65","17/6/2010 18:09:52"
"36144","772","70","17/6/2010 17:04:00"
"36144","946","65","17/6/2010 16:06:58"
"36144","1066","25","17/6/2010 16:56:39"
"36144","1392","65","17/6/2010 15:51:19"
"36144","1447","70","17/6/2010 16:15:09"
"36144","1562","85","17/6/2010 15:54:59"
"36144","1745","90","17/6/2010 16:50:06"
"36144","1841","80","17/6/2010 16:50:43"
"36144","1852","80","17/6/2010 15:51:24"
"36144","1896","80","17/6/2010 17:22:58"
"36144","2018","80","17/6/2010 15:53:38"
"36144","2026","65","17/6/2010 17:04:37"
"36144","2033","65","17/6/2010 16:01:02"
"36144","2083","80","17/6/2010 16:13:42"
"36144","2140","85","17/6/2010 17:20:26"
"36144","2334","60","17/6/2010 17:31:42"
"36144","2375","70","17/6/2010 17:33:34"
"36144","2446","65","17/6/2010 15:46:20"
"36144","2472","80","17/6/2010 15:44:38"
"36144","2481","70","17/6/2010 15:46:57"
"36144","2533","40","17/6/2010 17:25:42"
"36144","3004","60","17/6/2010 16:53:13"
"36144","3089","80","17/6/2010 16:01:50"
"36144","3269","75","17/6/2010 17:04:52"
"36144","3715","70","17/6/2010 15:53:04"
"36144","3745","85","24/6/2010 18:30:34"
"36144","3918","75","17/6/2010 15:51:30"
"36144","3968","50","17/6/2010 18:00:53"
"36144","4065","75","17/6/2010 16:45:55"
"36144","4086","75","17/6/2010 15:49:35"
"36144","4265","70","17/6/2010 15:50:56"
"36144","4267","25","17/6/2010 15:47:09"
"36144","4487","80","17/6/2010 16:15:45"
"36144","4494","75","17/6/2010 16:03:06"
"36144","4570","90","17/6/2010 16:10:40"
"36144","4614","50","17/6/2010 15:49:38"
"36144","4851","85","17/6/2010 15:44:07"
"36144","4883","85","17/6/2010 16:00:40"
"36144","4918","25","17/6/2010 17:25:17"
"36144","4936","55","17/6/2010 15:57:56"
"36144","4947","60","17/6/2010 16:05:47"
"36144","5076","70","17/6/2010 15:54:23"
"36144","5253","75","17/6/2010 15:45:43"
"36144","5349","65","29/6/2010 19:18:45"
"36144","5405","80","17/6/2010 15:53:11"
"36144","5583","60","17/6/2010 17:02:31"
"36144","5854","45","17/6/2010 17:31:35"
"36144","6001","60","24/6/2010 18:29:51"
"36144","6115","70","17/6/2010 17:30:49"
"36144","6123","70","17/6/2010 15:54:28"
"36144","6127","80","17/6/2010 17:29:22"
"36144","6530","75","17/6/2010 15:46:23"
"36144","6545","75","17/6/2010 17:02:53"
"36144","6592","85","17/6/2010 16:02:37"
"36144","6758","90","17/6/2010 15:50:10"
"36144","6770","80","17/6/2010 16:15:36"
"36144","7067","75","17/6/2010 18:06:24"
"36144","7175","75","17/6/2010 16:16:52"
"36144","7530","70","17/6/2010 16:46:27"
"36144","7616","65","17/6/2010 17:09:59"
"36144","7756","75","17/6/2010 17:10:20"
"36144","7812","65","17/6/2010 16:48:43"
"36144","8097","70","17/6/2010 16:13:54"
"36144","8132","75","17/6/2010 17:49:22"
"36144","8333","80","17/6/2010 17:20:55"
"36144","8371","35","17/6/2010 17:05:41"
"36144","8418","45","17/6/2010 17:30:04"
"36144","8435","35","17/6/2010 17:25:29"
"36144","8584","45","29/6/2010 19:20:30"
"36144","8609","75","17/6/2010 15:50:38"
"36144","8622","85","17/6/2010 15:50:05"
"36144","8704","80","17/6/2010 15:40:38"
"36144","8742","70","17/6/2010 15:53:42"
"36144","8800","65","17/6/2010 15:55:44"
"36144","8926","90","17/6/2010 16:10:10"
"36144","9066","65","17/6/2010 15:49:19"
"36144","9172","60","17/6/2010 17:23:50"
"36144","9188","80","17/6/2010 16:52:45"
"36144","9345","70","17/6/2010 16:09:44"
"36144","9435","80","17/6/2010 16:52:55"
"36144","9692","65","17/6/2010 17:30:20"
"36144","9711","45","17/6/2010 15:46:40"
"36144","9836","60","17/6/2010 17:03:27"
"36144","9954","80","17/6/2010 15:53:22"
"36144","10224","70","17/6/2010 17:44:46"
"36144","10309","75","17/6/2010 15:52:47"
"36144","10477","85","17/6/2010 15:51:58"
"36144","10504","80","17/6/2010 16:04:45"
"36144","10642","85","17/6/2010 17:24:01"
"36144","10753","65","17/6/2010 16:49:44"
"36144","10826","65","17/6/2010 16:53:16"
"36144","10921","75","17/6/2010 16:48:24"
"36144","10973","95","17/6/2010 16:01:27"
"36144","11103","75","17/6/2010 16:03:19"
"36144","11164","55","17/6/2010 17:25:25"
"36144","11346","60","17/6/2010 18:12:35"
"36144","11500","75","17/6/2010 16:02:14"
"36144","11697","50","17/6/2010 16:05:59"
"36144","11699","60","17/6/2010 16:00:13"
"36144","11742","40","17/6/2010 17:44:12"
"36144","11760","65","17/6/2010 15:46:13"
"36144","11849","75","17/6/2010 15:59:21"
"36144","12040","75","17/6/2010 16:17:04"
"36144","12152","75","17/6/2010 15:52:22"
"36144","12258","75","17/6/2010 18:07:06"
"36144","12429","50","17/6/2010 17:08:59"
"36144","12448","75","24/6/2010 18:28:32"
"36144","12565","80","17/6/2010 16:08:37"
"36144","12689","45","17/6/2010 15:54:36"
"36144","12703","70","17/6/2010 15:40:18"
"36144","12734","80","17/6/2010 16:31:42"
"36144","12881","70","17/6/2010 17:30:53"
"36144","13006","85","17/6/2010 15:47:36"
"36144","13065","75","17/6/2010 16:07:52"
"36144","13131","65","17/6/2010 15:53:09"
"36144","13172","70","17/6/2010 17:23:07"
"36144","13194","80","17/6/2010 16:53:01"
"36144","13272","80","17/6/2010 16:46:15"
"36144","13419","70","17/6/2010 16:47:56"
"36144","13469","55","17/6/2010 15:56:49"
"36144","13507","50","17/6/2010 16:52:41"
"36144","13592","90","17/6/2010 15:50:14"
"36144","13699","65","17/6/2010 15:47:46"
"36144","13955","55","17/6/2010 15:46:37"
"36144","14050","85","17/6/2010 16:01:22"
"36144","14059","75","17/6/2010 16:31:28"
"36144","14148","80","17/6/2010 17:24:16"
"36144","14181","80","17/6/2010 16:15:25"
"36144","14320","75","17/6/2010 17:59:48"
"36144","14331","60","29/6/2010 19:23:00"
"36144","14429","90","17/6/2010 15:46:15"
"36144","14469","55","17/6/2010 15:41:21"
"36144","14692","70","17/6/2010 16:50:11"
"36144","14742","80","7/7/2010 02:23:04"
"36144","14781","80","17/6/2010 15:45:47"
"36144","14816","65","17/6/2010 16:01:45"
"36144","14959","60","17/6/2010 15:46:48"
"36144","14963","70","17/6/2010 17:22:31"
"36144","14993","75","17/6/2010 16:53:23"
"36144","15089","60","17/6/2010 15:46:52"
"36144","15138","40","17/6/2010 15:59:58"
"36144","15144","75","17/6/2010 16:51:10"
"36144","15251","80","17/6/2010 15:56:52"
"36144","15295","75","17/6/2010 16:49:51"
"36144","15341","75","17/6/2010 16:16:38"
"36144","15348","70","17/6/2010 15:57:14"
"36144","15397","80","17/6/2010 15:59:37"
"36144","15552","45","17/6/2010 17:25:21"
"36144","15689","60","17/6/2010 15:59:04"
"36144","15939","40","17/6/2010 18:13:12"
"36144","15970","45","17/6/2010 17:09:44"
"36144","15999","65","17/6/2010 15:58:06"
"36144","16093","75","17/6/2010 17:04:04"
"36144","16099","90","17/6/2010 16:50:02"
"36144","16162","95","17/6/2010 15:53:27"
"36144","16282","65","17/6/2010 17:45:34"
"36144","16385","90","17/6/2010 15:47:31"
"36144","16390","75","17/6/2010 16:09:22"
"36144","16598","80","17/6/2010 16:53:39"
"36144","16732","70","17/6/2010 15:41:18"
"36144","16836","65","17/6/2010 15:41:09"
"36144","16868","75","29/6/2010 19:22:01"
"36144","16972","65","17/6/2010 15:57:10"
"36144","17166","85","17/6/2010 15:55:28"
"36144","17205","50","17/6/2010 17:45:19"
"36144","17216","70","17/6/2010 16:21:26"
"36144","17251","75","17/6/2010 16:46:57"
"36144","17311","80","17/6/2010 15:50:59"
"36144","17532","85","17/6/2010 15:56:35"
"36144","17676","80","17/6/2010 16:46:35"
"36144","17683","85","17/6/2010 15:40:22"
"36144","17689","60","17/6/2010 17:21:45"
"36144","17715","80","17/6/2010 16:15:54"
"36144","17770","75","17/6/2010 17:28:00"
"36144","18036","55","17/6/2010 16:00:25"
"36144","18120","75","17/6/2010 17:01:42"
"36144","18168","65","17/6/2010 17:26:03"
"36144","18187","65","17/6/2010 16:48:58"
"36144","18267","70","17/6/2010 15:48:41"
"36144","18305","70","17/6/2010 16:06:05"
"36144","18335","60","17/6/2010 17:49:14"
"36144","18375","65","17/6/2010 15:54:19"
"36144","18440","65","17/6/2010 15:50:31"
"36144","18448","60","17/6/2010 15:48:35"
"36144","18556","90","17/6/2010 15:40:06"
"36144","18573","40","17/6/2010 15:41:12"
"36144","18622","85","17/6/2010 15:48:47"
"36144","18684","65","17/6/2010 15:59:50"
"36144","18705","80","17/6/2010 15:49:40"
"36144","18787","85","17/6/2010 17:03:16"
"36144","18810","70","17/6/2010 16:03:54"
"36144","18830","40","17/6/2010 15:41:26"
"36144","18890","70","17/6/2010 15:49:59"
"36144","19152","65","17/6/2010 15:40:41"
"36144","19237","65","17/6/2010 16:11:02"
"36144","19364","70","17/6/2010 16:49:29"
"36144","19418","75","17/6/2010 15:50:46"
"36144","19478","40","17/6/2010 15:40:49"
"36144","19652","65","17/6/2010 17:10:09"
"36144","19922","70","17/6/2010 15:47:49"
"36144","20004","70","17/6/2010 17:33:07"
"36144","20034","70","17/6/2010 17:28:09"
"36144","20039","65","17/6/2010 18:06:32"
"36144","20058","70","17/6/2010 15:49:44"
"36144","20091","45","17/6/2010 15:58:04"
"36144","20175","65","17/6/2010 15:54:52"
"36144","20216","80","17/6/2010 16:14:59"
"36144","20231","75","7/7/2010 02:18:57"
"36144","20485","50","17/6/2010 17:05:20"
"36144","20655","85","17/6/2010 16:46:23"
"36144","20813","65","17/6/2010 17:22:10"
"36144","20853","60","17/6/2010 17:10:04"
"36144","20993","80","17/6/2010 15:58:36"
"36144","21064","65","17/6/2010 17:25:38"
"36144","21100","85","17/6/2010 16:15:59"
"36144","21178","80","17/6/2010 15:52:16"
"36144","21191","65","17/6/2010 15:59:15"
"36144","21442","40","17/6/2010 15:55:36"
"36144","21509","85","17/6/2010 17:03:37"
"36144","21590","80","17/6/2010 16:10:49"
"36144","21615","40","17/6/2010 17:05:32"
"36144","21651","50","17/6/2010 15:41:30"
"36144","21659","85","17/6/2010 16:04:40"
"36144","21681","50","17/6/2010 15:59:53"
"36144","21765","90","17/6/2010 15:56:01"
"36144","21894","35","17/6/2010 15:47:06"
"36144","21923","70","17/6/2010 16:48:20"
"36144","21950","55","17/6/2010 17:49:01"
"36144","21996","80","17/6/2010 16:31:51"
"36144","22108","60","17/6/2010 17:22:17"
"36144","22180","20","17/6/2010 15:53:50"
"36144","22188","80","17/6/2010 16:56:48"
"36144","22354","70","17/6/2010 16:51:04"
"36144","22467","70","17/6/2010 17:03:56"
"36144","22579","0","17/6/2010 15:46:02"
"36144","23007","70","17/6/2010 16:48:33"
"36144","23012","65","17/6/2010 16:08:09"
"36144","23069","70","17/6/2010 16:47:03"
"36144","23071","30","17/6/2010 17:49:11"
"36144","23156","75","17/6/2010 16:04:28"
"36144","23270","80","17/6/2010 16:06:38"
"36144","23285","45","17/6/2010 15:58:32"
"36144","23303","90","17/6/2010 16:02:17"
"36144","23516","70","17/6/2010 17:45:48"
"36144","23594","65","17/6/2010 17:22:00"
"36144","23598","100","17/6/2010 15:45:36"
"36144","23639","75","17/6/2010 17:31:54"
"36144","23682","80","17/6/2010 15:50:34"
"36144","23785","45","17/6/2010 15:45:56"
"36144","23821","70","17/6/2010 16:10:55"
"36144","23842","75","17/6/2010 17:05:28"
"36144","23873","15","17/6/2010 16:02:03"
"36144","23877","70","17/6/2010 17:33:44"
"36144","23882","75","17/6/2010 15:55:12"
"36144","23931","50","17/6/2010 15:41:36"
"36144","23968","60","17/6/2010 16:52:37"
"36144","24005","80","17/6/2010 16:35:29"
"36144","24075","75","17/6/2010 16:03:27"
"36144","24106","75","17/6/2010 17:10:31"
"36144","24307","55","17/6/2010 15:55:49"
"36144","24317","85","17/6/2010 17:09:49"
"36144","24322","55","17/6/2010 15:48:19"
"36144","24483","80","17/6/2010 16:35:39"
"36144","24485","100","17/6/2010 15:47:58"
"36144","24676","85","17/6/2010 15:50:27"
"36144","24829","90","17/6/2010 16:35:33"
"36144","24861","45","17/6/2010 15:52:31"
